Professor Name,Comment,Anger,Disgust,Fear,Joy,Neutral,Sadness,Surprise,Key Words
Phillip Barry (2011),2011 was harder than it should've been. I found myself bored in lecture and relied on the book for better understanding & practice. Homeworks were graded a bit harsh and at times were incredibly hard for no reason. TAs couldn't help much on the homeworks due to him not having the answer keys. Exams were open note & not too difficult of problems.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
,I wholeheartedly agree with the previous reviewer. It's unfortunate because there is a lot of very interesting material but it's integrated in the most uncreative way possible for a course such as this one. Exams and essays are also not trivial and there is a substantial amount of busy work. Take advantage of extra credit if you want an A.,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
,"He's a good professor and lecturer, it's just hard to understand some topics from time to time. I would recommend just slightly looking at the textbook ahead of time to get an idea of the material, and then go to lecture and things should go well. The class is just dummy hard because the homework is graded very, very harshly. Good luck.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
,"He is a great lecturer, but the class itself is incredibly difficult. He only puts 34% on exams, which are already open note/book. Homework (33%) is very difficult, but most if not all problems can be figured out by looking through the book. The weekly quizzes (33%) are easy since they are open note as well, and ask easier questions than homework.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
,"I liked this class. I think you'll dislike it if you don't enjoy reading, writing, or history. Barry picked good topics and the class was well-structured. I agree with the other commenter. I watched Barry on 2x speed and I would struggle with staying attentive if it were in person. There was lots of opportunity for gimme points and extra credit.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
,"Prof. Barry is the reason that that 2x speed button was invented. Decent lectures, but very (very) slow. This wasn't a big deal because I could just speed up the video, but I'm not sure I'd want to take an in-person class with him. The content of the course is pretty boring, but that's not really the fault of the professor. Lots of busy work.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
,"There's nothing difficult about this class, but the homework is so boring and confusing with this specific format, word count, and prompt questions. I just couldn't understand what he wants from me.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,
,Barry Is a tough grader.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
,"This professor has been given some very interesting and varied content for this class. The method of engaging with the content, however, is exhaustingly boring. Discussing ethical and philosophical ideas with classmates has been reduced to a text crawl of soundbites thanks to overuse of a platform called Menti. Be prepared for some boring lectures.",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
,"Barry is a nice person but he grades harshly. He gave about an 80% avg grade in my course which is a B-. He seems to think that these are good grades but I think a lot of people were surprised and frustrated. If you want an easy A don't take him. Also, the course content was eh.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,
Phillip Barry (3921W),Professor Barry gave boring lectures that were hard to follow and honestly you're probably better off just reading the book and not attending lectures. Homework was graded very harshly but the weekly quizzes were pretty easy. The first half of this class was hard and annoying but it gets better.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
,"Homework was graded very harshly. Lectures were pretty good and I could generally follow them. He was a bit messy/unprepared (editing slides during lecture, not having answers to problems during lecture just explaining generally how to do it) but it didn't detract from it much. Overall good professor and good at teaching.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,
Phillip Barry (4921),"Professor Barry is a solid professor and structures his class well. This class is time-consuming and you are more or less independently learning, but you are given all the tools to succeed. Lectures can be hard to follow, but the slides and sample code he puts up are a great resource. Be diligent with readings, homework, and labs and you'll do well.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
,"Prof. Barry is a solid choice. Really nice guy, but his lectures are boring. He regurgitates the textbook and it's often not worth your time. You can learn the material through doing the labs and homework - both are fairly time consuming. However, tests and quizzes are pretty easy if you know what's going on with them.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
,"Quizzes and tests are based heavily off the homework, so as long as you understand each assignment, you should be fine.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
,Super clear on grading criteria.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,"Professor Barry is reliable and knowledgeable. I had a hard time following him, even though he constantly gave several minutes for us to think. His lecture did make those smart students move faster. Unfortunately, the faster they move, the harder for me to catch up.",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
,"Professor is quite fair. He drops one midterm, one hw, and two in-class exercises, which is great. Hw is rather hard and time consuming but you need to know how to do it for the tests. Lectures are pretty dull, and I hated in-class exercises. Stopped attending and started just teaching myself. But I did review lectures online. Take him if you can.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
Abhishek Chandra,"Professor Chandra is one of the best CSCI professors at the Twin-Cities campus. At first I was skeptical of taking his OS course, but now that it's behind me, I can 100% assure the other students who need the course to take his section. I should mention that I did take the course in the Summer of 2024 (online), but it was a great experience!",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
,"Lectures were clear and explanations during class were very helpful. Not mandatory, but I would recommend going. Projects are tough but they're entirely doable. Make sure you know C. I believe that TAs made and graded assignments; a LOT of issues when each project was released due to not giving enough info or not setting up required files properly.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
,"He was a solid guy, his lab team was disorganized, but he accounted for that by granting an extension for every single project. Quizzes and tests, are easier than the other profs who offer this course so, if you're not a good test taker and can do alright on projects he's your guy.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
,"Chandra himself gave clear lectures, albeit sometimes lacking detail. That being said, the administrative parts of this course were terrible, and there were a lot of issues with TA-related tasks like grading, project clarity, and labs starting late or not at all. Chandra ignored or complained when students brought up these issues. Do not recommend.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
,"Good at lecturing in a beginner-friendly way, although the lectures aren't particularly attention-holding. Only complaint is that lab instructions are sometimes unclear and especially for the networking topics hard to understand what we were doing. Star Trek references on quizzes were a good bonus.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,
,"Chandra's lectures are very clear and understandable, a lot of the times he can just talk and walks through examples of topics to make sure we get what's happening (although can get a bit boring at times), labs and quizzes were straightforward, group projects were tough but manageable, midterms weren't too difficult.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
,"Class was super interesting, his style of teaching is going over slides and examples sometimes. At least for me the way he taught and set the class up made me successful. Exams contain information you'd expect and nothing more or surprising. He wants you to succeed and the content he teaches will help you in your future career.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
,"Lectures can be boring, but contain all the information you need for the exams. Wants students to succeed. Would take again in a heartbeat.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,Good professor with a sense of humor. Most of the content for exams are on his slides (also attend/watch his lectures. He tends to give examples/more info that isn't on the slides). There are four group projects (40% of the grade). Projects aren't bad if you find good partners. Labs were unfortunately mandatory and made up part of the lab grade.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,"Good lecturer, if you pay attention in class the tests and quizzes are quite easy.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,"As someone who had failed this same course with a different professor, I have 2 perspectives on the same content. Without a doubt Professor Chandra's teaching approach is superior. When it comes to teaching a beginner, an intro class to operating systems, you must explain things STEP BY STEP. He is golden. I would take any class with him again.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
,"This professor's lectures and slides are consistent, allowing you to prepare for lecture beforehand with questions and notes. There is an accompanying textbook that can be found online with greater detail. His quizzes are meant to remind you of what you learned, he wants you to pass, not trip you up with trick questions. Very patient professor.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,"Chandra is a decent professor. I went into OS thinking it was going to be a big weed-out class, but it was honestly fairly easy as you're relearning the same concept throughout the semester. Chandra's lectures are dry, but they are very clear and you don't need to do much to understand them. My only advice is start projects early! Also get a group!",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
,"Chandra has very clear lectures and lecture slides. They may not be the most engaging, but they are not confusing. The group projects were awful, a lot depends on your group members. The tests were pretty much straight from the lectures so if you understand the lectures, you will do very well on the tests. There were extra credit opportunities.",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
,"Chandra is dry, as others have said, but he's good. He explains Operating Systems concepts better than anyone else ever has that I know of. He's very knowledgeable, very accessible outside of class, responds to emails promptly, and answers questions concisely and clearly. TAs on the other hand are incompetent.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,
,"Lectures are very boring. Labs are good for learning the introduction to whatever content is covered that week. If you understand everything taught in the labs, you will be able to complete the projects.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
,"Professor Chandra gives well-organized lectures that clearly explain the material. The textbook is good for getting more detailed info, but you can certainly get a decent grade without doing the assigned readings. The programming projects were very difficult for me, but you may choose to work with a partner to make them easier.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
,Great class. Professor Chandra is very knowledgeable about OS. Projects are tough but super rewarding.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,"Took 4061 with him and loved it, got an easy enough A and learned a lot. Took 5103 the next semester and it's been the most difficult class I've taken in computer science so far. Impossible projects and a heartbreaking midterm. If you want to learn a lot about operating systems, take the class. Otherwise, spare yourself.",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,
,"Very dry teaching material, and sometimes labs and projects would have too vague or a description, but otherwise a good and reasonable prof. The one-question kahoots really spiced the class up.",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
Maria Gini (5511),She is the best professor I ever had. She is well prepared and her class is so organized and has structure. She shares past experiences and encourages students to tackle problems.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
,"Take this class if you want to learn the basics of AI and want an A. Gini makes sure that all of her students succeed in the class if you put in the effort. Content is similar to CSCI3041, but it is easy for the most part. Big project at the end of the class but you pick the topic. Lots of writing because it is writing intensive. Homework is easy.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
Maria Gini (4511W),"Such a cool teacher, it's a class I genuinely believe anyone could get an A in. There are assignments every week at weird times but everything is manageable. The in-class exercises are graded on just trying something and not necessarily finishing it or doing it correctly.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
,I enjoyed taking CSCI 4511W with Maria Gini as the content was interesting and it was always very clear on how we were being graded / what we needed to know to get a good grade in the class. Professor Gini makes it clear that she wants all of her students to succeed.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,"Never had an exam where the professor had an open textbook in class for students to read from. She's a generous grader. You may need to read the textbook because she doesn't record or really use slides, otherwise paying attention is really important. Wednesdays are mandatory attendance for the in-class assignments that are 100% as long as you submit.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
,"Professor Gini is amazing and she cares about her students. The class is very straightforward if you try to read the textbook. We have weekly work, which is nice, and the final project is also interesting since you can just pick your own topic. Exams are long but the grading is very generous. There are also extra credits that can boost up your grade.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,"Professor Gini is a caring instructor who wants to see you succeed. She is generous with opportunities for extra credit and has the attitude of trying to inspire her students. I appreciate how she covers both history and emerging advancements in AI, giving perspective to problems and what we can learn from the past to apply to the future.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,She is the most responsible professor I have ever seen in U. She gave very useful feedbacks. You can learn a lot from her class and easily get good grades if you work hard.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
,"Kind of a pretty boring online lecture where she writes on a notepad. This is an intro to AI class, but feels like it was made in the 1650s. Get this class if you want an easier low-stress class, but don't expect to be engaged or blown away. Most people are going to need more time on exams.",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
,"She uses cards as notes and can be randomly rude to students. She's also not comfortable with tech. The semester project is long but structured. You'll end up self-teaching a lot. Yet, her grading makes up for it as you have ample time to do assignments, and going to class is a free 15%. Overall, it wasn't amazing, but not horrible either.",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,
,"Be prepared to read everything from the textbooks because the homework assignments are not doable with the unorganized lectures on pieces of paper, which are hard to read. I stopped attempting to email after receiving a rude response. The class is not difficult if you are willing to stick it out, but the content wasn't as interesting as I hoped.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,
,"The worst professor I've ever had. She is old, has an accent, and scribbles on papers all lecture. Not sure why she doesn't engage with the class and no one pays attention. You learn on your own (TAs are helpful). She is VERY rude, so be prepared to feel dumb/stupid when you ask a question. Clearly, she is tenured; otherwise, she wouldn't have a job.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
,"For the most part, she was okay, but I did learn more from the textbook. The writing section of the class was more towards the first half of the semester, with the latter half focused on the final project and a paper. Not too bad of a class. I understand why people do have complaints, though.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,
,"The professor has a horrible attitude toward those who do not understand the content. Rude comments are often left on assignments without explaining why it is wrong. Her handwriting is illegible 75% of the time. She gets frustrated with clarifying questions, and the grading is NEVER consistent. But the TAs are nice, and they help out quite a bit.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
,"Good professor for the most part. There is a lot of content that is not brought up in lectures at all (only in the textbook). Many students (myself included) found midterms to not have enough time for completion (like an HW assignment with an exam's time). The content was relatively interesting, though. Some grading was fairly harsh.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,
