Name,Teacher ID,Department,Rating,Difficulty,Total Ratings,Would Take Again,Rating Class,Comments,Top Tags
Phillip Barry,410470,Computer Science,3.5,62%,45,62%,good,"{'CSCI2011': [""2011 was harder than it should've been. I found myself bored in lecture and relied on the book for better understanding & practice. Homeworks were graded a bit harsh and at times were incredibly hard for no reason. TAs couldn't help much on the homeworks due to him not having the answer keys. Exams were open note & not too difficult of problems."", ""I wholeheartedly agree with the previous reviewer. It's unfortunate because there is a lot of very interesting material but it's integrated in the most uncreative way possible for a course such as this one. Exams and essays are also not trivial and there is a substantial amount of busy work. Take advantage of extra credit if you want an A."", ""He's a good professor and lecturer, it's just hard to understand some topics from time to time. I would recommend just slightly looking at the textbook ahead of time to get an idea of the material, and then go to lecture and things should go well. The class is just dummy hard because the homework is graded very, very harshly. Good luck"", 'He is a great lecturer, but the class itself is incredibly difficult. He only puts 34% on exams, which are already open note/book. Homework (33%) is very difficult, but most if not all problems can be figured out by looking through the book. The weekly quizzes (33%) are easy since they are open note as well, and ask easier questions than homework.', ""I liked this class. I think you'll dislike it if you don't enjoy reading, writing, or history. Barry picked good topics and the class was well-structured. I agree with the other commenter. I watched Barry on 2x speed and I would struggle with staying attentive if it were in person. There was lots of opportunity for gimme points and extra credit."", ""Prof. Barry is the reason that that 2x speed button was invented. Decent lectures, but very (very) slow. This wasn't a big deal because i could just speed up the video, but I'm not sure I'd want to take an in person class with him. The content of the course is pretty boring, but that's not really the fault of the professor. Lots of busy work."", ""There's nothing difficult about this class, but the homework is so boring and confusing with this specific format, word count, and prompt questions. I just couldn't understand what he wants from me."", 'Barry Is a tough grader', 'This professor has been given some very interesting and varied content for this class. The method of engaging with the content, however, is exhausingly boring. Discussing ethical and philosophical ideas with classmates has been reduced to a text crawl of soundbytes thanks to overuse of a platform called menti. Be prepared for some boring lectures.', ""Barry is a nice person but he grades harshly. He gave about an 80% avg grade in my course which is a B-. He seems to think that these are good grades but I think a lot of people were surprised and frustrated. If you want an easy A don't take him. Also, the course content was eh.""], 'CSCI3921W': [""Professor Barry gave boring lectures that were hard to follow and honestly you're probably better off just reading the book and not attending lectures. Homework was graded very harshly but the weekly quizzes were pretty easy. The first half of this class was hard and annoying but it gets better."", ""Homework was graded very harshly. Lectures were pretty good and I could generally follow them. He was a bit messy/unprepared (editing slides during lecture, not having answers to problems during lecture just explaining generally how to do it) but it didn't detract from it much. Overall good professor and good at teaching.""], 'CSCI4921': [""Professor Barry is a solid professor and structures his class well. This class is time-consuming and you are more or less independently learning, but you are given all the tools to succeed. Lectures can be hard to follow, but the slides and sample code he puts up are a great resource. Be diligent with readings, homework, and labs and you'll do well"", ""Prof. Barry is a solid choice. Really nice guy, but his lectures are boring. He regurgitates the textbook and it's often not worth your time. You can learn the material through doing the labs and homework - both are fairly time consuming. However, tests and quizzes are pretty easy if you know what's going on with them."", 'Quizzes and tests are based heavily off the homework, so as long as you understand each assignment, you should be fine.', 'Super clear on grading criteria.', 'Professor Barry is reliable and knowledgable. I had a hard time following him, even though he constantly gave several minutes for us to think. His lecture did make those smart students move faster. Unfortunately, the faster they move, the harder for me to catch up.', 'Professor is quite fair. He drops one midterm, one hw, and two in class exercises, which is great.  Hw is rather hard and time consuming but you need to know how to do it for the tests. Lectures are pretty dull, and I hated in class exercises. Stopped attending and started just teaching myself. But i did review lectures online Take him if you can'], 'HSCI4321': [""Personally I do not listen to him in his class because it doesn't make any sense if you do not read the textbook ahead, he doesn't go through with any basics and assume you know everything. What I do was reading the textbook and do the hw and make sure to know stuffs, then I'm just fine. Quizzes and exams are not too hard, I teach myself for all..."", ""Quizzes and tests are there just to make sure you understand what you are doing. As long as you know what's happening, you should be fine.""]}","['Lots of homework', 'Get ready to read', 'Clear grading criteria', 'Participation matters', 'Tough grader']"
John Bartucz,2977279,Computer Science,4.7,100%,3,100%,good,"{'CI4311W': ['Professor is an understanding guy but definitely has high standards of writing. He gives amazing feedback through video so you do not have to look through all of the comments on your paper. This class has the expected amount for a writing intensive course.', 'Very caring professor and highly recommended!'], 'CSCI3921W': ['Professor Bartucz was one of the best CS lecturers I have had yet. He was very straightforward with both expectations for the class and the grading requirements. Additionally, his lectures were not rigid and unmoving like some professors, rather he cared more about student input. Highly recommend.']}","['Gives good feedback', 'Amazing lectures', 'Hilarious', 'So many papers', 'Caring']"
Daniel Boley,309254,Computer Science,2.2,0%,24,0%,poor,"{'CSCI5302': ['Examples are given in class, but not how to completely solve them. The examples that we go through are always incomplete. It may be trivial for the professor to solve at the point he leaves off, but for students who are not familiar with the topic, it can take a long amount of time.', ""Dan is a nice guy that cares about his students, but doesn't give the greatest lectures. Lectures are monotone and extremely theory- and math-heavy, and applications are left to the (long) homework assignments. Prepare to read the textbook after going to lecture. That said, the grading is fairly easy on homework and tests if you put in the effort."", ""Boley uses no slides, is a very boring lecturer, and clearly doesn't know how to teach in an online environment. Class is extremely difficult with him teaching it. AVOID AT ALL COSTS"", ""He was a terrible prof. Refused to give answers or any comments on homework, after the whole class, I still don't know whether I have done right on my homework. Just don't understand what is the meaning of this class."", 'Great guy, great class. Would take again', ""I already have a Bachelor's from another university, so I've taken 160+ credits, and he is the worst professor I've ever had. If I gave an incoherent lecture like his as an assignment, I would get a D. Your time is better spent skipping class and teaching yourself the material from the book. That's what you're going to have to do eventually anyway."", 'Dr. Boley knows the material well, and the subject is pretty interesting. Just pay attention in class and everything should go well. His tests are very fair.', ""Everyday he would come into lecture and never had a clear plan on what to teach. He's very smart but not a very good teacher; he seldom used the book and you wouldn't know what to expect for the tests. That being said, the final exam was easy and there was curving here and there. Just read the book and go to TA office hours and you'll be fine."", ""Very obviously smart, but NOT a good teacher. His lectures are confusing and I spend half of the time on my homework trying to figure out what he's even asking. Tests are mostly difficult because the way he words the questions; it is never clear what he's actually asking. Makes the material seem 5x harder than it actually is. Would NOT recommend."", ""He is an intelligent guy who knows the course material he's teaching. However, he is NOT good at relaying this information to mere mortals. Work is challenging, but is graded fairly, meaning if you show effort you can usually get some partial credit. Exams are fairly challenging, but not impossible. Wouldn't recommend for a lower-division course."", 'He is good at what he teaches, but the way he teaches is absolutely horrible. He makes a very easy concept hard to understand, and he spends 30min trying to make it clear, then you realize he was talking about something like 1+1=2. If I were him, I teach 3 times faster. I recommend reading the book yourself rather than listening to his babbling.', ""I took an entry level course in CSci with him but he's clearly accustomed to teaching upper echelon courses.  He used terminology with which the class was not familiar.  He had no set lesson plan for the class and as a result he often glazed over important topics or just forgot them making the lectures seem disjointed.  Exams were easy though.""], 'CSCI5521': [""I have no idea what's going on, I hate this"", ""Lectures were boring, and didn't cover much material. I went to him for help regarding course material and he came off aggressive. I would not take any more of his classes, or recommend anyone else take them."", 'The homework seemed to be way harder than necessary and was quite unclear. Professor Boley is a nice guy and willing to help but his lectures were not helpful at all and were really boring. His quizzes were the most helpful things to study from for the tests. At least he allowed open book and open notes for tests, which were quite easy.', ""Boley was by far the worst professor I've ever had. He has managed to spend 45 minutes of a 75 minute lecture on a very simple thing such as matrix multiplication. He also cut out three large topics because he'd spend so much time on simple things. Penalty methods, numerical integration, ODE. Take this class in the math department to cover more."", ""Really smart guy, but the way of teaching doesn't work for students. Hard homework assignments and medium level exam. Hard to understand assignments. Just because of this, I dropped the class. Never recommended."", ""Really smart guy, and he kept lectures enjoyable - even if some of the material wasn't always conveyed the best. Homework significantly more difficult than the tests, which were fairly easy, and pop quizzes are attendance checks.""], 'CSCI2033': [""He's a bit confusing in lecture, but the tests are fair. If you do the homework you'll have no problem with the testquiz material."", 'Took his class in Fall 2013, with 200+ students. He might not be good with teaching lower level classes but is really smart, also gives a lot of help in scoring points from assignments for pushing up your grade. He really wants his students to pass too, make sure you learn the concepts from his assignments and you should be fine! Bear with him :)']}","['Beware of pop quizzes', 'Get ready to read', 'Tough grader', 'Lots of homework', 'Lecture heavy']"
Stevie Chancellor,2783392,Computer Science,3.7,67%,3,67%,good,"{'CSCI5115': [""Not the most interesting course ever, but prof Chancellor made it pretty doable. The lectures were usually pretty engaging, although there weren't very many of them. The group project is the main course focus, and she does talk with all of the groups and gives good feedback. The quizzes were pretty easy, and were short response questions."", ""disagree with below. My language is not English but she allows translator in quiz. She considers student's situation if you talk to her. Some quizzes were hard but she's been adjusting and telling us how to do well. She has a clear mind and wont waste your time by lecturing useless stuff.I didn't got good grades sometimes but I think she's fine""], 'CSCI-5115': ['Try to avoid this person as much as you can. She is very inconsiderate and made an easy class such as this very difficult. She is a person with an ego and thinks she is better than the students she is teaching. Made the class unfun. She makes the quiz very stressful and grades very harshly. If english not your first language then she does not care.']}","['Participation matters', 'Group projects', 'Tough grader', 'Gives good feedback', 'Inspirational']"
Abhishek Chandra,1692316,Computer Science,4.1,83%,46,83%,good,"{'CSCI4061': [""Professor Chandra is one of the best CSCI professors at the Twin-Cities campus. At first I was skeptical of taking his OS course, but now that it's behind me, I can 100% assure the other students who need the course to take his section. I should mention that I did take the course in the Summer of 2024 (online), but it was a great experience!"", ""Lectures were clear and explanations during class were very helpful. Not mandatory, but I would recommend going. Projects are tough but they're entirely doable. Make sure you know C. I believe that TAs made and graded assignments; a LOT of issues when each project was released due to not giving enough info or not setting up required files properly."", ""He was a solid guy, his lab team was disorganized, but he accounted for that by granting an extension for every single project. Quizzes and tests, are easier than the other profs who offer this course so, if you're not a good test taker and can do alright on projects he's your guy."", 'Chandra himself gave clear lectures, albeit sometimes lacking detail. That being said, the administrative parts of this course were terrible, and there were a lot of issues with TA-related tasks like grading, project clarity, and labs starting late or not at all. Chandra ignored or complained when students brought up these issues. Do not recommend.', ""Good at lecturing in a beginner-friendly way, although the lectures aren't particularly attention-holding. Only complaint is that lab instructions are sometimes unclear and especially for the networking topics hard to understand what we were doing. Star Trek references on quizzes were a good bonus."", ""Chandra's lectures are very clear and understandable, a lot of the times he can just talk and walks through examples of topics to make sure we get what's happening (although can get a bit boring at times), labs and quizzes were straightforward, group projects were tough but manageable, midterms weren't too difficult."", ""Class was super interesting, his style of teaching is going over slides and examples sometimes. At least for me the way he taught and set the class up made me successful. Exams contain information you'd expect and nothing more or surprising. He wants you to succeed and the content he teaches will help you in your future career."", 'Lectures can be boring, but contain all the information you need for the exams. Wants students to succeed. Would take again in a heartbeat.', ""Good professor with a sense of humor. Most of the content for exams are on his slides (also attend/watch his lectures. He tends to give examples/more info that isn't on the slides). There are four group projects (40% of the grade). Projects aren't bad if you find good partners. Labs were unfortunately mandatory and made up part of the lab grade."", 'Good lecturer, if you pay attention in class the tests and quizzes are quite easy.', ""As someone who had failed this same course with a different professor, I have 2 perspectives on the same content. Without a doubt Professor Chandra's teaching approach is superior. When it comes to teaching a beginner, an intro class to operating systems, you must explain things STEP BY STEP. He is golden. I would take any class with him again."", ""This professor's lectures and slides are consistent, allowing you to prepare for lecture beforehand with questions and notes. There is an accompanying textbook that can be found online with greater detail. \n\nHis quizzes are meant to remind you of what you learned, he wants you to pass, not trip you up with trick questions. \n\nVery patient professor"", ""Chandra is a decent professor. I went into OS thinking it was going to be a big weed out class, but it was honestly fairly easy as you're relearning the same concept throughout the semester. Chandra's lectures are dry, but they are very clear and you don't need to do much to understand them. My only advice is start projects early! Also get a group!"", 'Chandra has very clear lectures and lecture slides. They may not be the most engaging, but they are not confusing. The group projects were awful, a lot depends on your group members. The tests were pretty much straight from the lectures so if you understand the lectures, you will do very well on the tests. There were extra credit opportunities.', ""Chandra is dry, as others have said, but he's good. He explains Operating Systems concepts better than anyone else ever has that I know of. He's very knowledgeable, very accessible outside of class, responds to emails promptly, and answers questions concisely and clearly. TAs on the other hand are incompetent."", 'Lectures are very boring. Labs are good for learning the introduction to whatever content is covered that week. If you understand everything taught in the labs, you will be able to complete the projects.', 'Professor Chandra gives well-organized lectures that clearly explain the material. The textbook is good for getting more detailed info, but you can certainly get a decent grade without doing the assigned readings. The programming projects were very difficult for me, but you may choose to work with a partner to make them easier.', 'Great class. Professor Chandra is very knowledgeable about OS. Projects are tough but super rewarding.', ""Took 4061 with him and loved it, got an easy enough A and learned a lot. Took 5103 the next semester and it's been the most difficult class I've taken in computer science so far. Impossible projects and a heartbreaking midterm. If you want to learn a lot about operating systems, take the class. otherwise, spare yourself"", 'Very dry teaching material, and sometimes labs and projects would have too vague or a description, but otherwise a good and reasonable prof. The one question kahoots really spiced the class up.']}","['Group projects', 'Lots of homework', 'Respected', 'EXTRA CREDIT', 'Clear grading criteria']"
Zhu-Tian Chen,2991643,Computer Science,1.0,0%,1,0%,poor,"{'CSE': ['I hope I checked his record at Harvard via RMP earlier. My research experience with him is a total failure, suddenly he wants code and suddenly he wants math without clear goals. I did several REU with other professors, nothing like this. He has good publications with established researchers, but definitely not a very good mentor at this moment.']}",['Group projects']
Yao-Yi Chiang,2889575,Computer Science,2.7,0%,3,0%,average,"{'CSCI4707': [""Prof Chiang was a good instructor and the course had reasonable expectations. He gave practice exams that helped prepare you for the actual exam. But he's not super understanding, especially regarding mental health, so get a note or register with the DRC if you think you'll need accommodations (even if it's just for extensions or a makeup quiz)"", ""Professor Chiang is a pretty nice dude and wants to help you succeed (he is willing to give extensions and stuff), but the grading criteria for hw (60% of the grade) and the project are extremely strict. If your test case doesn't pass, you get 0 points, so no partial credit. The project is based off the hw too so good luck if you didn't get the hw.""], 'CSCI5523': [""Quiz every week, on lecture and textbook materials. Prof is not accessible outside of class. Have to go to TAs, only some of them are helpful. HWs are HARD but applicable to what we learn. Get ready to read and spend hours on HWs. He doesn't make the slides so sometimes it seems like he doesn't know what he's talking about. Helpful examples though.""]}","['Lecture heavy', 'Lots of homework', 'Tough grader', 'Get ready to read', 'Online Savvy']"
Karthik Desingh,2976589,Computer Science,5.0,100%,1,100%,good,"{'CSCI5551': ['I took CSCI5551 - Intelligent Robot Systems with Professor Desingh. Karthik is a great professor; his lectures are clear and interesting (he connects topics to research and industry), the grading criteria is very clear, he is open to help students and makes himself available, and he encourages feedback.']}","['Clear grading criteria', 'Gives good feedback', 'Caring']"
Chris Dovolis,65686,Computer Science,3.3,55%,236,55%,average,"{'1933': [""Lecture slides lack detail, making review difficult. If you don't know Java beforehand, the content can be hard to follow initially. Labs and projects are vague and confusing. He doesn't curve tests, even when averages are low, and claims they're easy when they're not. I'd recommend avoiding him if you can."", 'If you are taking data structures with Chris get ready to learn a lot. Remember Linked lists if probably the most importatnt topic you should understand to get the rest. Do well on the projects and study for hte midterms and final. Overall W professor for sure', 'Professor Dovolis was a kind professor who wants students to succeed. His lectures and slides can be a bit boring at times, but taking my own notes helped me stay engaged and study for tests. Weekly readings are worth 5% extra credit. The midterm is worth 25% of your grade. Some of the projects were tough, but there are frequent TA office hours.', 'severely underrated professor, and a lot of the flack he gets is because of the shortcomings of the students themselves. there was always very clear and often lenient grading criteria, the content presented to you was highly relevant, and this semester the readings counted as extra credit. all in all a good lecturer with a very well structred class', 'Points taken off from the midterm on the last day of class are not visible, so regrades have to be done in the next semester. He said he was embarrassed to show his exams to other profs because they were ""so easy"", but the average score was 60% on the last midterm. The other prof curved the grades while he didn\'t.', ""Dovolis is an OK professor. His lectures were a little difficult to follow since he ramble on about things. Projects were okay and doable alone but definitely required a lot of time and preparation beforehand. I didn't find much help in the ZyBooks for prepping for the midterm and the final but it was nice that it was extra credit."", ""Good lecturer, clear grading scheme, projects provide good talking points if you're interviewing for internships. I don't really like Zybooks though. Practice exams were helpful, he doesn't provide answers because he thinks it encourage bad study habits and I kind of agree. Would highly recommend this professor. Has excellent TAs."", ""Projects are hardly worth the effort required, and don't contribute to learning the material like the labs do. They are overly complicated, not even in difficulty, just way too many things to do, and the instructions are like reading a book with vague suggestions and expectations. Overall bad time."", ""Lectures are him just talking, going on tangents, and writing code on paper. He doesn't get the concept that some students aren't just kids who live on campus, so he makes his am students come in on a day they don't have class to test at 630-830 pm. Also gives a lot of push back to students who need to use the disability resource center for exams."", 'Dovolis is a great professor. He seems to have a deep knowledge of computer science material, and shows it in the lectures. The course is VERY assignment heavy, with large projects and textbook readings that prepare you for the tests. It is a difficult class, but there are many TAs and they are easily accessible. One bad thing is the textbook tho.', 'Projects are given a ton of time and you should visit office hours for them. Lack of homework/quizzes to understand some of the topics especially later into the course with the finals. DOES NOT CURVE so make sure to get all possible points in labs and projects. Practice midterms has no answer key. Manually draws out lectures so make sure to go.', 'This class will be a step up from 1133, so expect to put in the work.There are large projects and midterms are difficult, which have reviews but no answer key.Start projects and review early, because everyone does everything last minute in this class.He is a caring and understanding guy who has a lot industry experience, so go to his office hours.', ""He's a great guy. His lectures can go off the rails sometimes with some rambles but it's clear he really does care about educating students about computer science. You'll be successful in this course if you do the readings, actively seek help from TAs, etc. He doesn't post extensive lecture notes so it's recommended that you show up."", 'His lectures were very good and the projects in the class were massive but they were excellent for learning. I think if you are interested in learning about computer science this is a good instructor. Tests were a bit hard to get A\'s on because there would always be 1 or 2 ""trick"" type of questions.'], 'CSCI1933': ['Dovolis is actually a really nice and understanding professor although he likes to go on tangents during lecture. His lectures didn\'t make any sense and I felt like I had to teach everything to myself. If you want to pass you have to bombard your TA with 1 million questions. He doesn\'t curve exams, and claims his exams are ""easy"" when they are not.', ""Professor Dovolis runs a structured, content-rich class. While assignments can be time-consuming, the material is relevant, and the TAs are accessible for support. Unstuckstudy AI's practice tools helped me prepare effectively for exams. An overall challenging but rewarding experience."", ""Teaching style reminds me of Bill Nye. Incredibly knowledgeable about CS-related content, and his lectures are easy to follow but still provide an in-depth understanding. He frequently reviews and connects old content to new, so course content is easily remembered. Projects take time but aren't difficult, lab and Zybooks reinforce learned knowledge"", 'Best Professor in the CSCI department goat', ""The greatest professor I've ever had. Tests are trivial at worst, labs are fun, but the projects can be a extreme amount of work for those unprepared. Midterms are easy, you just need to attend lecture to understand (he doesn't post any slides from lectures). Go to lecture, and you will ace this class. Don't expect to self-teach, this is college."", ""Really mid professor. Classes is difficult since both exams are around 50-60% of the grade. There are 2 exams but the class is set up where each exam is it's own category. So both exams are not in 1 exam category but instead each are it's own 20-25% category. Had all labs finished and good scores on projects and was not able to pass.""]}","['Tough grader', 'Test heavy', ""Skip class? You won't pass."", 'Lecture heavy', 'Get ready to read']"
Andrew Exley,2660881,Computer Science,3.9,87%,12,87%,good,"{'CSCI4511W': [""Exley is a great guy and even better professor. Weekly quizzes really help students stay on top of ideas in class. Since this is a W class, there's more reading / writing than typical CS courses, but nothing too bad. If you took 4041 before this class, it should be a breeze since a lot of this course is understanding searching algorithms."", ""2021 was a very difficult class, however Andy made most of the material easy to digest. I'm taking him for intro to AI this coming semester!"", ""Unreasonably difficult teacher. Expects you to drop 50 hours on a project while giving out confusing homework, studying for exams and also having to juggle your other classes all at the same time. Midterm right after thanksgiving break. Doesn't accommodate. No sample exams to study from. Lectures are very vague. No recorded lectures at all."", ""- For the final AI project, each student is expected to contribute 50 hours (with all the other hw, in-class assignments, and exam studying). This is ridiculous. It's not a 5-credit class, it's a 4-credit class \n- Exam 2 is 2 days after thanksgiving. We can't enjoy our break from all the work he gives\n- He doesn't give sample exams to help study"", ""Andy was great at introducing me to Python, & helped me pick it up super quickly. I actually had one 3 hour lecture a week, and although everyone warns against that, he made it manageable with a balanced mix of organized notes on the board and code examples for us to try on the screen. He's also a funny guy. I love a lecturer with a sense of humor."", 'Professor Exley knows a LOT about Natural Language Processing and helped me learn so much about his class. The homework that he assigns actually applies natural language processing techniques to the real world and are actually beneficial in understanding more about NLP is used.', 'I attended a grand total of 1 lecture, and the textbook was good enough to learn all of the content from otherwise. The grading in this class makes it very easy, just do the homework and show up to the labs to pass, the quizzes/bookwork are worth almost nothing in your final grade.', 'One of the best CS professors I have had at the U. He clearly knows what he is talking about and enjoys discussing NLP. I went into this class with 0 knowledge of NLP and actually had a great time learning and working on the programming assignments. Exams were open notes and we were given multiple days to complete them.', 'Never went to lecture, only studied from the zybooks. Homework is 55% of grade, labs are 30%, quiz is 10%, reading is 5%. A lot of reading for less points, but need to be able to know it, to actually code. Labs are weird, only have 1 hour and 50 mins to complete the lab that can sometimes take a lot more time, especially with only 2 TAs in the lab.', ""Lectures were good until someone put that they wanted more examples in the feedback. Now there are too many examples and not enough of explaining the way the code works. You can reach him at practically any time over slack, but he won't just give the answers, he'll try to help you problem solve.""], 'CSCI2021': ['Amazing professor, hard class. Be prepared to spend a lot of time going to TAs to understand the various concepts, projects, and midterms. I had a great joy learning from Exley and made learning these difficult topics much more enjoyable than otherwise.', 'CSCI 2021 is a very hard class, everyone at the UMN CS dept. knows that. Prof. Exley made it bearable. It was certainly tough, and I struggled a ton, but overall the class was good.', ""2021 is a notoriously hard class and I was hesitant to take with Exley since it's his first semester. However, he is a great professor; his lectures are interesting even when the topics are not, and the projects / tests / labs (similar to Kolb's classes) have not been too bad if you go to lecture. Overall great and I would recommend 2021 with him."", 'Had Exley in Spring 2023 - one of my favorite classes! Essentially an ""Algorithms in AI"" course with a sprinkling of other material. Final Project was very open-ended which let me pick something I was legitimately interested in. Either read all of the assigned book chapters or attend lectures and you should learn all of the tested material.', ""Other than the first test being unreasonably difficult, I think this class was okay. I didn't enjoy it but my grade isn't terrible. Prof. Exley taught the material well but he often didn't cover what we actually were tested on in detail. Sometimes the quiz would come up and I would be so lost despite attending all lectures. Okay Professor."", ""I had prof Exley for 1133 back in spring 2021 as my first introduction to CS. In spring 23, I took 4511w and thought the name seemed familiar. I was pleasantly surprised to recognize him. He's a really cool person and 4511w had some of my favorite lectures ever. I normally sleep through lecture, but his kept me engaged. You can tell he really cares"", 'I took this class over the summer, so the entire thing was shoved into about 6 weeks. This was my first computer science course and I loved it! The professor explained the material very well. There were no tests, just homework assignments, labs, and readings. A couple of the homework assignments were pretty difficult, but they were graded fairly.', 'spring 2023, 4 homeworks that were solo and helped w/ understanding course content. Overall grading scheme and course structure well made, made sense. 1 final project w/ writeup. That, along w/ some of the other writing assignments were allowed to be collaborative, which was nice. In-class exercises based on the lecture'], 'CSCI1133': [""Professor Exley is a great lecturer. His lectures were clear and helped fill in the gaps from the textbook. His class was extremely organized, which made it very easy to learn and get a good grade. TA's and office hours were also very easy to access and very helpful."", 'Good explanations for students new to programming. Weekly homework criteria was very clear and along with the labs made for a fun weekly programming challenge. Zybook graded textbook readings were required and account for the majority of your grade. One 3-per-week reading affects your grade the same as one of the weekly quizzes.']}","['Amazing lectures', 'Clear grading criteria', 'Accessible outside class', 'Gives good feedback', 'Respected']"
